# CoR_mean CED_mean Epsilon_mean Mu_mean CoR_std CED_std Epsilon_std Mu_std overall_std
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.333333333333333037e+00 3.333333333333333037e+00 3.333333333333333037e+00 3.333333333333333037e+00 1.000000000000000000e+00
-1.156870377457413390e+00 8.917499094925375458e-03 4.201088530487854911e+00 -1.377724459754058328e+00 3.333333333333332593e+00 3.067177998220143031e+00 3.333333333333333037e+00 3.197855331478319574e+00 1.001258821581234582e+00
4.152844758511209378e-01 1.764072691823043604e+00 4.996178104583642643e+00 -1.946757441171204306e+00 3.028097265655555592e+00 2.953831314832916277e+00 3.258556082050305225e+00 2.988298369873624516e+00 9.692060923828481611e-01
9.406265936744823142e-01 1.879567346720239840e+00 4.991424802138548777e+00 -2.153561574397390377e+00 2.408936452276793982e+00 2.241656691108128374e+00 2.732026568737772276e+00 2.558619981889757700e+00 8.340229782893798793e-01
-1.428794276432198140e-01 2.087139659711759077e+00 3.710456795617348646e+00 -1.292251028174109528e-01 2.137227410838256958e+00 1.752610352696299723e+00 2.296695684635846835e+00 2.165277686424507575e+00 7.195658892797136552e-01
-1.661902118021917563e+00 3.191235127444025377e+00 4.961638425096952076e+00 -5.111567636331915132e-01 2.188844190997615513e+00 1.526048309979688877e+00 2.144691786791963484e+00 2.131062735048935952e+00 7.016604176581128227e-01
3.877360968080920678e-01 2.684875554453047375e+00 4.886409499472841311e+00 -5.794381997092391545e-01 1.860552461441101535e+00 1.106537024274086400e+00 1.757600145448456219e+00 1.700616378014820462e+00 5.729548150462151490e-01
1.357472976186064217e+00 2.733323900847830057e+00 3.800715863078624412e+00 -5.229628851672671885e-01 1.826961147914955896e+00 9.032501507214101277e-01 1.658233456391968952e+00 1.465242320394769759e+00 5.305485643628865544e-01
1.527009532965525551e+00 2.756091627265033317e+00 4.287737102569496805e+00 -2.653933149683085357e-02 1.573276753386430915e+00 6.681137711916768085e-01 1.498034751139035059e+00 1.364834483875831284e+00 4.548479391199833910e-01
2.330987617896083997e+00 2.302448734280576836e+00 2.977161490406819766e+00 5.029074544594452911e-02 1.383881038791347828e+00 6.349859934562674946e-01 1.463634605924109655e+00 1.295583970295992593e+00 4.263420367423417234e-01
