# CoR_mean CED_mean Epsilon_mean Mu_mean CoR_std CED_std Epsilon_std Mu_std overall_std
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 1.000000000000000000e+00
-2.892175943643533476e-01 2.229374773731343864e-03 1.050272132621963728e+00 -3.444311149385145820e-01 8.333333333333331483e-01 7.667944995550357579e-01 8.333333333333332593e-01 7.994638328695798934e-01 1.001258821581234582e+00
1.038211189627802344e-01 4.410181729557609009e-01 1.249044526145910661e+00 -4.866893602928010765e-01 7.570243164138888980e-01 7.384578287082290693e-01 8.146390205125763062e-01 7.470745924684061290e-01 9.692060923828481611e-01
2.351566484186205785e-01 4.698918366800599600e-01 1.247856200534637194e+00 -5.383903935993475942e-01 6.022341130691984956e-01 5.604141727770320935e-01 6.830066421844430691e-01 6.396549954724394249e-01 8.340229782893798793e-01
-3.571985691080495351e-02 5.217849149279397691e-01 9.276141989043371616e-01 -3.230627570435273821e-02 5.343068527095642395e-01 4.381525881740749306e-01 5.741739211589617087e-01 5.413194216061268937e-01 7.195658892797136552e-01
-4.154755295054793907e-01 7.978087818610063442e-01 1.240409606274238019e+00 -1.277891909082978783e-01 5.472110477494038783e-01 3.815120774949222193e-01 5.361729466979908709e-01 5.327656837622339880e-01 7.016604176581128227e-01
9.693402420202301695e-02 6.712188886132618437e-01 1.221602374868210328e+00 -1.448595499273097886e-01 4.651381153602753837e-01 2.766342560685216001e-01 4.394000363621140548e-01 4.251540945037051156e-01 5.729548150462151490e-01
3.393682440465160544e-01 6.833309752119575142e-01 9.501789657696561031e-01 -1.307407212918167971e-01 4.567402869787389741e-01 2.258125376803525319e-01 4.145583640979922380e-01 3.663105800986924399e-01 5.305485643628865544e-01
3.817523832413813878e-01 6.890229068162583292e-01 1.071934275642374201e+00 -6.634832874207713393e-03 3.933191883466077288e-01 1.670284427979192021e-01 3.745086877847587647e-01 3.412086209689578209e-01 4.548479391199833910e-01
5.827469044740209991e-01 5.756121835701442091e-01 7.442903726017049415e-01 1.257268636148613228e-02 3.459702596978369571e-01 1.587464983640668736e-01 3.659086514810274138e-01 3.238959925739981482e-01 4.263420367423417234e-01
