# x_mean y_mean x_std y_std overall_std
0.000000000000000000e+00 0.000000000000000000e+00 2.094395102393195263e+00 2.094395102393195263e+00 1.000000000000000000e+00
-1.184455693967796153e+00 -1.477825139551822931e+00 2.094395102393194819e+00 2.094395102393194819e+00 1.026344003426026275e+00
-2.785874594251585901e+00 -3.141472561458192647e+00 2.094395102393195707e+00 2.094395102393195263e+00 1.417381757421424471e+00
-2.575843199357916280e+00 -2.251422210737784368e+00 1.833984534746097017e+00 2.094395102393195707e+00 1.579859814228373294e+00
-3.089207597288113671e+00 -2.428354559257355660e+00 1.402778884640591528e+00 1.667029702017108983e+00 1.374758347187911456e+00
-3.135821506754621346e+00 -2.603171701502048574e+00 9.498656986851717887e-01 1.360950923829527426e+00 1.148893233529741265e+00
-3.123038206566588038e+00 -2.379306467143993853e+00 6.119934098135764167e-01 1.079635747723276529e+00 8.612005745702155934e-01
-3.110694535110269499e+00 -1.170749409888884873e+00 6.996945325558338036e-01 1.415076475275805157e+00 1.003895236368093746e+00
-3.141287264513098254e+00 -9.324435250501413863e-01 4.889253593282155141e-01 1.214428086764938630e+00 9.456005199181732879e-01
-3.137443178789449227e+00 -6.794744795893511435e-01 3.865116963170051601e-01 9.811501956078712006e-01 8.333709686568022690e-01
-3.062800525376347505e+00 -8.034147029164071530e-01 4.070865373862325165e-01 8.279027878793828732e-01 8.286496908074488799e-01
-3.022996145983268157e+00 -9.203632453400235613e-01 3.662697278112022059e-01 4.831536312698939684e-01 7.126485476313838552e-01
-3.017733466878353088e+00 -9.062319339416541331e-01 1.964035212619103521e-01 3.600216483643546295e-01 5.387875597808892136e-01
-3.082394274878561546e+00 -8.686729167087309245e-01 1.734743710020921759e-01 2.290434604730479662e-01 4.646887241283012004e-01
-3.050119713541096900e+00 -9.677840481632346004e-01 1.403423000114295549e-01 1.503882116610898712e-01 3.792174354762462007e-01
