# x_mean y_mean x_std y_std overall_std
0.000000000000000000e+00 0.000000000000000000e+00 8.333333333333332593e-01 8.333333333333332593e-01 1.000000000000000000e+00
-4.712799464207899636e-01 -5.880079399628567183e-01 8.333333333333330373e-01 8.333333333333331483e-01 1.026344003426026275e+00
-1.108464281273170426e+00 -1.249952216859073317e+00 8.333333333333333703e-01 8.333333333333332593e-01 1.417381757421424471e+00
-1.024895444518636900e+00 -8.958124345645031017e-01 7.297192606473280607e-01 8.333333333333333703e-01 1.579859814228373294e+00
-1.229156648363601168e+00 -9.662115792138725734e-01 5.581479838887144496e-01 6.632900433925805750e-01 1.374758347187911456e+00
-1.247703733634683232e+00 -1.035769110027477291e+00 3.779395530479547904e-01 5.415051670823770591e-01 1.148893233529741265e+00
-1.242617420099800585e+00 -9.466959634412022151e-01 2.435044407787368692e-01 4.295734149721848749e-01 8.612005745702155934e-01
-1.237706029279362019e+00 -4.658263892643388360e-01 2.783996087765850946e-01 5.630410397330015693e-01 1.003895236368093746e+00
-1.249878489547194382e+00 -3.710074904144038399e-01 1.945372193501665459e-01 4.832055825956828587e-01 9.456005199181732879e-01
-1.248348976435724955e+00 -2.703543053285959452e-01 1.537881175792122357e-01 3.903872588664318299e-01 8.333709686568022690e-01
-1.218649608295249376e+00 -3.196685533046319527e-01 1.619745867279563933e-01 3.294120527264117193e-01 8.286496908074488799e-01
-1.202811948952464904e+00 -3.662008998399088888e-01 1.457340942151897079e-01 1.922407217235063970e-01 7.126485476313838552e-01
-1.200717995468830734e+00 -3.605782296863555558e-01 7.814647812371799951e-02 1.432480623931980390e-01 5.387875597808892136e-01
-1.226445713512703595e+00 -3.456339715606220331e-01 6.902325911185079599e-02 9.113349729289682566e-02 4.646887241283012004e-01
-1.213604073580253573e+00 -3.850690377766592398e-01 5.584042692926192986e-02 5.983756817153167151e-02 3.792174354762462007e-01
