# sliding_mean rolling_mean num_particles_mean sliding_std rolling_std num_particles_std overall_std
5.000000000000000000e-01 5.000000000000000000e-01 3.000000000000000000e+04 3.333333333333333148e-01 3.333333333333333148e-01 6.666666666666666060e+03 1.000000000000000000e+00
5.620188975385350671e-01 5.097637729382286098e-01 2.965653474503880716e+04 2.407557715165001277e-01 2.199605233447900210e-01 4.507726051312545678e+03 7.500489458938793819e-01
5.092000109794855289e-01 4.176587859275802117e-01 3.003683219146847114e+04 1.882803422460640197e-01 1.730929834887882379e-01 2.840610749166209644e+03 6.016775975573233071e-01
4.873686817314897279e-01 3.680663038381778995e-01 2.980487977392422545e+04 1.524934700037136603e-01 1.381986537600131404e-01 1.925639405364535605e+03 4.951158387663459060e-01
4.975244189366647696e-01 3.546353700912671103e-01 2.938965017242525937e+04 1.174612722133582532e-01 1.087782098709991763e-01 1.210817049275103045e+03 3.962532417314916788e-01
5.487127599455724480e-01 2.838907267077073748e-01 2.922680816168183810e+04 1.046449432905395549e-01 1.049914491327339078e-01 1.023777267255235870e+03 3.795817507648123201e-01
5.874533739521791142e-01 1.905490017825567650e-01 2.971096705352969002e+04 1.136402544003166093e-01 1.287637015643587624e-01 1.122505775843932952e+03 4.227494543393099380e-01
6.379365766800124682e-01 2.596329432983825458e-01 2.903105106975328090e+04 1.105172273675297800e-01 1.071752880870892738e-01 9.691127096682063211e+02 3.882538004272680920e-01
6.412717826806353383e-01 2.583894531443461373e-01 2.924561137430991221e+04 8.548949249836097775e-02 7.439455456707570746e-02 7.277747604209446308e+02 3.179268859425984362e-01
5.828420570761050357e-01 2.649646993675923157e-01 2.942153435073436776e+04 7.358870599709219085e-02 5.879823176741369450e-02 5.300058789680136897e+02 2.624856563857677072e-01
5.707994441874890690e-01 2.838223541125476923e-01 2.923497446263326856e+04 5.562461319450562325e-02 4.234491284054375804e-02 4.346495365336628538e+02 2.207037196189446382e-01
6.016485797529242951e-01 2.893599233088636202e-01 2.917088185675686327e+04 4.292380210582361078e-02 3.281897557992221465e-02 3.552557453902442148e+02 1.815918706176187225e-01
6.106198608185727794e-01 2.769287772437575290e-01 2.932060651563507417e+04 3.628963806524797969e-02 2.620328597551620231e-02 2.733877756207202196e+02 1.544223336986801365e-01
6.100147360136918273e-01 2.517306903011477526e-01 2.948329932718097189e+04 3.663765068738845249e-02 2.660834561613056523e-02 2.632152328302473734e+02 1.527367691737711863e-01
6.356538936975159038e-01 2.488864907445035579e-01 2.944841230109469325e+04 3.531055869049128798e-02 2.326110229216920774e-02 2.230186027240174269e+02 1.451904310427877265e-01
6.294630646563066367e-01 2.431074534312315238e-01 2.958904740222818509e+04 2.998413270918723339e-02 2.050882891835432639e-02 2.043606672500989703e+02 1.332066869856029512e-01
5.927364244273506388e-01 2.515713927467793654e-01 2.960754503976988053e+04 3.401106779481113257e-02 1.875780009976685606e-02 1.964707274303529232e+02 1.348761400563439627e-01
5.842153893234230955e-01 2.509317949772720269e-01 2.962196450411626938e+04 2.673188846574725552e-02 1.619038808147982636e-02 1.822370724550122816e+02 1.234079500826124332e-01
5.895543184679777893e-01 2.621395952353210990e-01 2.939596118403915534e+04 2.513081832001549248e-02 1.795389212324299474e-02 2.239473336699000470e+02 1.363842617221276698e-01
5.720517745591927605e-01 2.709576886004215202e-01 2.934577283959796114e+04 2.684738392735861595e-02 2.135917832651470019e-02 2.325409899481082903e+02 1.491951215577385914e-01
5.453021576035238516e-01 2.685344122578570691e-01 2.953714529541716183e+04 3.234551199266932214e-02 2.179843928526635846e-02 2.696776024731812527e+02 1.653041841376759469e-01
5.596297701775013733e-01 2.657659691782813249e-01 2.953661952153741368e+04 2.512560946299926753e-02 1.510129918327285381e-02 1.751597767291065963e+02 1.311199545068199579e-01
5.455975361405694946e-01 2.714783516709945999e-01 2.950270907189149148e+04 2.244572113842369099e-02 1.208591356691774039e-02 1.501244614551943357e+02 1.172081084020987901e-01
5.454653718350325198e-01 2.787918988946119225e-01 2.949027442919295936e+04 2.113164121559456612e-02 1.129324474047018606e-02 1.380997344280215486e+02 1.098293668773191872e-01
5.597929775712403577e-01 2.824627223068141291e-01 2.935666228265567406e+04 2.064748202693535498e-02 1.118997210799224998e-02 1.438844508835991860e+02 1.078383669148266222e-01
5.835971084376518903e-01 2.991112331580341177e-01 2.914447672468837845e+04 3.253509486757514418e-02 1.869847984857369444e-02 2.353312712978003844e+02 1.618095899274204497e-01
5.751973187736725279e-01 2.975424238092458928e-01 2.926502762839595380e+04 2.905738623592414929e-02 1.938467630652346285e-02 2.410694269900349127e+02 1.726522284220886883e-01
5.836570589426425260e-01 2.966319845308607595e-01 2.935741816925444436e+04 3.100589599182080464e-02 2.296801568371241789e-02 2.813526755154532566e+02 2.107454980097463459e-01
5.763624305553692873e-01 3.009422991948421111e-01 2.912424583397869355e+04 2.663343899179372934e-02 1.974238511587276743e-02 2.456295382633465749e+02 1.955887429119338994e-01
5.623793595547326163e-01 2.905379632366497655e-01 2.927965005364965691e+04 2.261903303045376123e-02 1.608398865401643868e-02 1.935033471728175982e+02 1.684092582104533553e-01
