# sliding_mean rolling_mean num_particles_mean sliding_std rolling_std num_particles_std overall_std
1.250000000000000000e+00 1.250000000000000000e+00 3.750000000000000000e+00 8.333333333333332593e-01 8.333333333333332593e-01 8.333333333333332593e-01 1.000000000000000000e+00
1.405047243846337723e+00 1.274409432345571469e+00 3.707066843129851019e+00 6.018894287912502916e-01 5.499013083619750386e-01 5.634657564140682640e-01 7.500489458938793819e-01
1.273000027448713656e+00 1.044146964818950529e+00 3.754604023933558743e+00 4.707008556151600076e-01 4.327324587219705809e-01 3.550763436457762268e-01 6.016775975573233071e-01
1.218421704328724209e+00 9.201657595954446656e-01 3.725609971740527993e+00 3.812336750092841231e-01 3.454966344000328649e-01 2.407049256705669493e-01 4.951158387663459060e-01
1.243811047341661924e+00 8.865884252281677202e-01 3.673706271553157432e+00 2.936531805333956191e-01 2.719455246774979407e-01 1.513521311593878926e-01 3.962532417314916788e-01
1.371781899863931065e+00 7.097268167692684093e-01 3.653351020210229727e+00 2.616123582263488734e-01 2.624786228318347625e-01 1.279721584069044849e-01 3.795817507648123201e-01
1.468633434880447730e+00 4.763725044563918987e-01 3.713870881691211157e+00 2.841006360007914955e-01 3.219092539108969198e-01 1.403132219804916203e-01 4.227494543393099380e-01
1.594841441700031170e+00 6.490823582459563923e-01 3.628881383719160247e+00 2.762930684188244501e-01 2.679382202177231775e-01 1.211390887085257856e-01 3.882538004272680920e-01
1.603179456701588235e+00 6.459736328608652878e-01 3.655701421788739136e+00 2.137237312459024374e-01 1.859863864176892478e-01 9.097184505261807219e-02 3.179268859425984362e-01
1.457105142690262589e+00 6.624117484189807614e-01 3.677691793841796120e+00 1.839717649927304632e-01 1.469955794185342224e-01 6.625073487100170688e-02 2.624856563857677072e-01
1.426998610468722672e+00 7.095558852813691475e-01 3.654371807829158492e+00 1.390615329862640581e-01 1.058622821013593812e-01 5.433119206670785489e-02 2.207037196189446382e-01
1.504121449382310738e+00 7.233998082721589951e-01 3.646360232094608023e+00 1.073095052645590269e-01 8.204743894980554009e-02 4.440696817378052969e-02 1.815918706176187225e-01
1.526549652046431893e+00 6.923219431093937670e-01 3.665075814454384240e+00 9.072409516311993882e-02 6.550821493879049884e-02 3.417347195259002463e-02 1.544223336986801365e-01
1.525036840034229568e+00 6.293267257528692982e-01 3.685412415897621585e+00 9.159412671847112775e-02 6.652086404032640787e-02 3.290190410378092400e-02 1.527367691737711863e-01
1.589134734243789593e+00 6.222162268612588809e-01 3.681051537636836457e+00 8.827639672622820954e-02 5.815275573042301416e-02 2.787732534050217995e-02 1.451904310427877265e-01
1.573657661640766481e+00 6.077686335780787541e-01 3.698630925278523218e+00 7.496033177296808347e-02 5.127207229588581078e-02 2.554508340626237065e-02 1.332066869856029512e-01
1.481841061068376542e+00 6.289284818669483856e-01 3.700943129971235201e+00 8.502766948702782102e-02 4.689450024941713840e-02 2.455884092879411645e-02 1.348761400563439627e-01
1.460538473308557794e+00 6.273294874431800672e-01 3.702745563014533836e+00 6.682972116436813881e-02 4.047597020369956416e-02 2.277963405687653473e-02 1.234079500826124332e-01
1.473885796169944529e+00 6.553489880883026641e-01 3.674495148004894407e+00 6.282704580003872774e-02 4.488473030810748859e-02 2.799341670873750632e-02 1.363842617221276698e-01
1.430129436397981735e+00 6.773942215010537726e-01 3.668221604949745362e+00 6.711845981839653641e-02 5.339794581628674874e-02 2.906762374351353623e-02 1.491951215577385914e-01
1.363255394008809462e+00 6.713360306446426451e-01 3.692143161927145201e+00 8.086377998167330883e-02 5.449609821316589442e-02 3.370970030914765408e-02 1.653041841376759469e-01
1.399074425443753489e+00 6.644149229457032568e-01 3.692077440192176763e+00 6.281402365749816363e-02 3.775324795818213452e-02 2.189497209113832471e-02 1.311199545068199579e-01
1.363993840351423792e+00 6.786958791774864164e-01 3.687838633986436410e+00 5.611430284605922053e-02 3.021478391729435012e-02 1.876555768189929266e-02 1.172081084020987901e-01
1.363663429587581355e+00 6.969797472365297786e-01 3.686284303649119742e+00 5.282910303898641358e-02 2.823311185117546168e-02 1.726246680350269208e-02 1.098293668773191872e-01
1.399482443928100839e+00 7.061568057670353227e-01 3.669582785331959141e+00 5.161870506733838571e-02 2.797493026998062321e-02 1.798555636044989886e-02 1.078383669148266222e-01
1.458992771094129726e+00 7.477780828950852943e-01 3.643059590586047225e+00 8.133773716893785699e-02 4.674619962143423263e-02 2.941640891222504703e-02 1.618095899274204497e-01
1.437993296934181320e+00 7.438560595231147321e-01 3.658128453549494452e+00 7.264346558981037150e-02 4.846169076630865019e-02 3.013367837375436481e-02 1.726522284220886883e-01
1.459142647356606259e+00 7.415799613271518709e-01 3.669677271156805531e+00 7.751473997955200812e-02 5.742003920928104299e-02 3.516908443943165402e-02 2.107454980097463459e-01
1.440906076388423163e+00 7.523557479871052500e-01 3.640530729247336783e+00 6.658359747948432161e-02 4.935596278968191336e-02 3.070369228291832189e-02 1.955887429119338994e-01
1.405948398886831541e+00 7.263449080916244416e-01 3.659956256706207167e+00 5.654758257613440309e-02 4.020997163504109323e-02 2.418791839660219822e-02 1.684092582104533553e-01
